https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2023

Day,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
12/11,06:19AM,07:32AM,12:31PM,03:10PM,05:29PM,06:43PM
12/12,06:20AM,07:33AM,12:31PM,03:11PM,05:29PM,06:43PM
12/13,06:20AM,07:34AM,12:32PM,03:11PM,05:29PM,06:43PM
12/14,06:21AM,07:34AM,12:32PM,03:11PM,05:29PM,06:44PM
12/15,06:22AM,07:35AM,12:33PM,03:12PM,05:30PM,06:44PM
12/16,06:22AM,07:36AM,12:33PM,03:12PM,05:30PM,06:44PM
12/17,06:23AM,07:36AM,12:34PM,03:12PM,05:30PM,06:45PM
12/18,06:23AM,07:37AM,12:34PM,03:13PM,05:31PM,06:45PM
12/19,06:24AM,07:37AM,12:35PM,03:13PM,05:31PM,06:46PM
12/20,06:25AM,07:38AM,12:35PM,03:14PM,05:32PM,06:46PM
12/21,06:25AM,07:38AM,12:36PM,03:14PM,05:32PM,06:47PM
12/22,06:25AM,07:39AM,12:36PM,03:15PM,05:33PM,06:47PM
12/23,06:26AM,07:39AM,12:37PM,03:15PM,05:33PM,06:48PM
12/24,06:26AM,07:40AM,12:37PM,03:16PM,05:34PM,06:48PM
12/25,06:27AM,07:40AM,12:38PM,03:16PM,05:34PM,06:49PM
12/26,06:27AM,07:41AM,12:38PM,03:17PM,05:35PM,06:49PM
12/27,06:28AM,07:41AM,12:39PM,03:17PM,05:35PM,06:50PM
12/28,06:28AM,07:41AM,12:39PM,03:18PM,05:36PM,06:51PM
12/29,06:28AM,07:42AM,12:40PM,03:19PM,05:37PM,06:51PM
12/30,06:29AM,07:42AM,12:40PM,03:19PM,05:38PM,06:52PM
12/31,06:29AM,07:42AM,12:41PM,03:20PM,05:38PM,06:52PM
